road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
Al Janadriyah,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)",-0.07407407407407401,73.28867786183883,33.144444444444446,40.178333333333335,Blue
Al Jazeera Al Khuzra,"(24.6860722, 46.8153462)","(24.6433178, 46.7776658)",-1.112962962962963,41.17517876617545,15.27037037037037,10.444,Blue
Al Khozama,"(24.7363514, 46.6231959)","(24.691285, 46.5685328)",-0.2611111111111111,45.73037345709328,18.727777777777774,14.24311111111111,Blue
Al Masrouh,"(24.6219828, 46.7653843)","(24.5942887, 46.7283912)",-0.8574074074074075,33.36442570418651,16.022222222222222,8.745777777777779,Blue
Al Massaif,"(24.7775434, 46.6947278)","(24.7535293, 46.6684286)",-0.6685185185185185,39.38879078072024,12.064814814814815,7.909,Blue
Al Muhareb,"(24.6431497, 46.7285093)","(24.5460354, 46.6476041)",4.368518518518519,42.33988295766395,31.077777777777776,20.857333333333333,Blue
Al Nadwah,"(24.8278719, 46.9278255)","(24.7727852, 46.8616075)",-0.3796296296296296,28.808576899901198,27.833333333333332,13.346666666666666,Blue
Al Nahdha road,"(24.7084691, 46.7865516)","(24.6251442, 46.7430136)",1.3888888888888888,49.14020353256055,23.538888888888888,18.72088888888889,Blue
Al Naqeel,"(24.7610666, 46.65562389999999)","(24.7238296, 46.5904416)",0.5796296296296297,49.73264062723705,18.416666666666668,15.052444444444445,Blue
Al Olaya,"(24.7165527, 46.7035117)","(24.6682398, 46.66354519999999)",1.9129629629629632,40.25793125511469,20.561111111111114,12.848666666666666,Blue
Al Rabeah Aljarmi,"(24.7391318, 46.7587313)","(24.6933374, 46.7555571)",0.3981481481481481,39.10797719716944,14.031481481481482,9.080333333333334,Blue
Al Raed,"(24.7205795, 46.6541829)","(24.694263, 46.62321)",0.8999999999999999,36.45239610979753,13.814814814814817,8.234111111111112,Blue
Al Rafaih,"(24.6504946, 46.6769391)","(24.6252127, 46.6438333)",-0.1777777777777778,31.747570596421227,13.983333333333334,7.374555555555555,Blue
Al Rakb,"(24.7092213, 46.81680859999999)","(24.6843684, 46.7703716)",-0.20000000000000004,35.652640584400004,14.948148148148148,8.828333333333333,Blue
Al Rawdh,"(24.7532343, 46.7870871)","(24.7145113, 46.7488715)",0.5277777777777778,39.7583421518245,14.588888888888887,9.401444444444444,Yellow
