Road Name,Distance (km),Time (mins),Ratio (km/min)
العريجاء,6.348,12.3,0.5160975609756098
طريق رماح الرمحية,6.404,18.816666666666666,0.3403365810451727
الفروثي,7.333,17.816666666666666,0.41158091674462116
طريق وادي حنيفة,22.946,45.416666666666664,0.5052330275229359
عمرو بن العاص,6.831,13.666666666666666,0.499829268292683
Al Farzdaq Street,12.989,41.93333333333333,0.30975357710651835
ابن أبي خلق,6.9,20.066666666666666,0.3438538205980067
شارع الوليد بن جابر,6.895,14.066666666666666,0.49016587677725115
شارع اسد بن خزيمة,8.842,19.583333333333332,0.4515063829787235
الورد,11.976,27.816666666666666,0.4305332534451768
Al Masrouh,8.346,18.8,0.44393617021276593
الأمير فيصل بن عبدالعزيز بن سعود,6.804,13.05,0.5213793103448275
Malham,7.63,11.633333333333333,0.6558739255014326
Imam Malik Road,22.275,31.416666666666668,0.7090185676392572
منيفة,8.361,17.9,0.4670949720670392
حي الروضة,9.642,20.066666666666666,0.48049833887043186
السائب بن زيد,7.371,20.083333333333332,0.3670207468879669
ثمينة,9.22,15.916666666666666,0.5792670157068064
بيدة,8.496,21.25,0.39981176470588237
عبداللطيف الخيمي,6.273,13.4,0.4681343283582089
الحويرة,9.177,18.933333333333334,0.4847007042253521
التوحيد,6.077,9.666666666666666,0.6286551724137931
القاضي الفراء,6.709,18.233333333333334,0.36795246800731257
شارع الاسود بن ابي الاسود النهدي,13.867,23.1,0.6003030303030303
