road_name,start_point,end_point,distance_km
طريق الجنادرية,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)",13.108940530873095
طريق الجنادرية,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)",10.746876825493004
طريق الجنادرية,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)",5.508907340316938
وادي لبن,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)",12.63559337428092
وادي لبن,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)",13.514373165358437
King Abdullah Road,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)",23.79135918684431
جبل طويق,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)",21.095490434973982
جبل طويق,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)",2.063748379950112
شارع وادي حنيفة,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)",17.115573735276513
شارع وادي حنيفة,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)",5.565750779697336
خالد ابن الوليد,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)",11.157410740203701
خالد ابن الوليد,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)",10.264480340387315
التخصصي,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)",11.795845646885727
التخصصي,"(24.70444, 46.6237931)","(24.6460356, 46.635986)",9.738981811028566
Al Abbas Al Rashidi St.,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)",10.28029779801272
Al Abbas Al Rashidi St.,"(24.632121, 46.8075755)","(24.5901945, 46.7873646)",9.850798064247254
Imam Malik Road,"(24.8504746, 46.717642)","(24.8387167, 46.6422775)",10.403270404711954
Imam Malik Road,"(24.8387167, 46.6422775)","(24.7873741, 46.5671724)",10.231388368147472
طريق الأمير سعد بن عبدالرحمن الأول,"(24.727747, 46.8699947)","(24.7173974, 46.7662467)",14.576870586099947
طريق الأمير سعد بن عبدالرحمن الأول,"(24.7173974, 46.7662467)","(24.6790397, 46.7766463)",5.460887026951712
Al Muhareb,"(24.6432381, 46.7284768)","(24.5853478, 46.7106843)",11.197860653745225
Al Muhareb,"(24.5853478, 46.7106843)","(24.5476694, 46.6484324)",8.732497484802787
