road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
Al Janadriyah,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)",-0.074074074074074,73.28867786183883,33.144444444444446,40.178333333333335,Blue
Olaya Road,"(24.8302126, 46.6995133)","(24.6639052, 46.612626)",2.6888888888888887,60.91428326379461,38.45555555555555,38.197,Blue
Airport Road,"(24.9974697, 46.7381783)","(24.7791458, 46.6512239)",0.7296296296296296,51.723657685315025,42.512962962962966,36.60044444444444,Blue
East Ring Road,"(24.7921447, 46.805914)","(24.6224894, 46.7188421)",4.972222222222222,46.09711954021678,48.029629629629625,35.51266666666666,Blue
Western Ring Rd,"(24.7397288, 46.6463975)","(24.5539963, 46.5547852)",3.8722222222222222,59.42500515255168,37.15740740740741,34.843444444444444,Blue
شارع المدينة المنورة,"(24.6637135, 46.7962319)","(24.5627045, 46.574058)",5.196296296296296,52.001985970795104,41.31296296296296,34.207,Blue
Al Thoumamah Rd,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)",1.3018518518518516,56.961843358361016,36.351851851851855,34.069,Blue
الشرق,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)",-0.4722222222222223,76.59053132180772,25.327777777777776,32.181,Blue
طريق الجنادرية,"(24.9690502, 46.8640458)","(24.7798871, 46.7859467)",0.0462962962962963,53.20873261868373,33.75925925925926,29.773555555555554,Blue
وادي لبن,"(24.6405615, 46.6512239)","(24.5680149, 46.4489184)",0.5944444444444444,46.13593016394263,34.629629629629626,26.33522222222222,Blue
King Abdullah Road,"(24.801193, 46.8204406)","(24.6968763, 46.6222727)",4.188888888888889,57.52308296457283,27.737037037037037,25.496111111111112,Blue
جبل طويق,"(24.6116569, 46.59702069999999)","(24.5242615, 46.43972429999999)",-0.7796296296296297,72.30538677496428,20.37037037037037,24.547,Blue
شارع وادي حنيفة,"(24.7033408, 46.6807956)","(24.5998153, 46.60298119999999)",2.5407407407407407,47.35545329364589,32.275925925925925,24.01833333333333,Yellow
خالد ابن الوليد,"(24.8177153, 46.7889715)","(24.7236044, 46.7285093)",2.3944444444444444,44.15027312552715,31.755555555555556,22.944333333333333,Yellow
التخصصي,"(24.7577072, 46.6898516)","(24.6509204, 46.6367462)",2.011111111111111,47.90630444628687,29.14074074074074,22.838555555555555,Blue
Al Abbas Al Rashidi St.,"(24.6923431, 46.8495065)","(24.5915754, 46.7865516)",2.285185185185185,45.68847496896984,30.085185185185185,22.513,Blue
Imam Malik Road,"(24.8506483, 46.7188421)","(24.7825477, 46.56863670000001)",2.42037037037037,52.242416157799155,25.887037037037036,22.275,Yellow
طريق الأمير سعد بن عبدالرحمن الأول,"(24.727772, 46.870105)","(24.6782849, 46.7768732)",0.711111111111111,57.75585424801331,23.07592592592593,21.971,Blue
Al Muhareb,"(24.6431497, 46.7285093)","(24.5460354, 46.6476041)",4.368518518518519,42.33988295766395,31.077777777777776,20.857333333333333,Blue
Othman Bin Affan Road,"(24.8540833, 46.7285093)","(24.7410088, 46.670534)",4.216666666666667,52.65695483277321,22.93148148148148,19.088444444444445,Blue
Al Nahdha road,"(24.7084691, 46.7865516)","(24.6251442, 46.7430136)",1.3888888888888888,49.14020353256055,23.538888888888888,18.72088888888889,Blue
طريق العروبة,"(24.7435802, 46.7526854)","(24.6890813, 46.6270967)",3.3537037037037036,46.109973500377585,25.016666666666666,18.345777777777776,Blue
Irqah,"(24.7093091, 46.6160267)","(24.6686628, 46.4822893)",-0.187037037037037,49.04228030158821,21.964814814814815,17.909444444444446,Blue
الضوء,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)",-0.75,72.13735657686587,14.666666666666666,17.622,Blue
الدائري الثاني,"(24.7607903, 46.8688931)","(24.655751, 46.8446611)",-0.3388888888888888,57.74385254843256,18.12777777777778,17.349,Blue
المعيزيلة,"(24.8186427, 46.8597823)","(24.7649743, 46.8156829)",1.264814814814815,46.07075657713645,21.035185185185185,15.93333333333333,Blue
رقوان,"(24.627163, 46.6096871)","(24.5744531, 46.56547459999999)",-0.0555555555555555,36.21176637758285,25.955555555555556,15.431666666666665,Blue
Al Naqeel,"(24.7610666, 46.65562389999999)","(24.7238296, 46.5904416)",0.5796296296296297,49.73264062723705,18.416666666666668,15.052444444444443,Blue
Yanbu,"(24.6492832, 46.5861072)","(24.5956169, 46.5018235)",2.783333333333333,39.42538983243707,23.055555555555557,14.61111111111111,Blue
الحيازين,"(24.7685712, 46.7794439)","(24.6891896, 46.77233709999999)",0.7870370370370371,36.65187745407534,22.479629629629628,13.53,Blue
عثمان الضبي,"(24.6710714, 46.7078177)","(24.6034634, 46.6580872)",-0.5555555555555556,32.73104336593806,23.91851851851852,12.931444444444445,Blue
ممر قرطبة,"(24.8377564, 46.7581815)","(24.7926627, 46.7135863)",0.9481481481481482,48.04293940765729,15.281481481481482,12.07088888888889,Blue
طريق الامير مساعد بن جلوي,"(24.7113313, 46.7188421)","(24.6422095, 46.6946822)",2.4722222222222223,39.71328647289094,18.618518518518517,11.485888888888889,Blue
المهندس مساعد العنقري,"(24.7263022, 46.6877384)","(24.7055021, 46.6753627)",1.0833333333333333,39.65252957210353,17.50185185185185,10.848555555555556,Blue
Dhalam,"(24.8320047, 46.6934745)","(24.8206771, 46.66932689999999)",-0.3518518518518518,48.47223067783908,13.364814814814814,10.78,Blue
Al Jabour,"(24.6440511, 46.7655337)","(24.6101493, 46.7170297)",2.1166666666666667,28.887655895369917,22.983333333333334,10.51677777777778,Blue
الملد,"(24.79773910000002, 46.5814561)","(24.75346339999997, 46.54661769999999)",-0.6259259259259259,42.27524222999167,14.49074074074074,10.206,Blue
سامطة,"(24.7545783, 46.83622039999999)","(24.7340721, 46.802283)",0.2555555555555555,53.40436877184932,11.055555555555555,9.804,Blue
FAHHAD MOHAMMAD AL JFIRAN STREET,"(24.68896, 46.76417319999999)","(24.6840036, 46.7132541)",1.1444444444444444,30.055651237868485,18.549999999999997,8.912666666666667,Blue
Abi Hasain Al Hanbali,"(24.8022123, 46.6638953)","(24.7837499, 46.6243831)",0.0962962962962962,34.61496664545772,15.61296296296296,8.824,Blue
وادي الجناح,"(24.7058738, 46.6215189)","(24.7044394, 46.6194086)",0.2796296296296297,53.102090399337165,9.56851851851852,8.26811111111111,Blue
Prince Ahmed Bin Abdulaziz,"(24.644358, 46.6463975)","(24.6263283, 46.5861072)",-0.5944444444444444,41.0418622456954,11.855555555555556,8.106,Blue
الشعيرة,"(24.7468638, 46.7478493)","(24.7443783, 46.7114419)",0.3185185185185185,41.98094889907003,11.70185185185185,8.046777777777777,Blue
Maan Bin Ows,"(24.6320336, 46.8010727)","(24.6273961, 46.7913915)",1.5166666666666666,45.83470176297665,9.983333333333333,7.165,Blue
محمد بن البشير ألازهري,"(24.6760787, 46.8410273)","(24.6631189, 46.81801919999999)",-0.2944444444444445,40.10137007169622,10.13888888888889,6.765333333333333,Blue
الغاط,"(24.7814243, 46.7025329)","(24.7691874, 46.6777773)",-0.1648148148148147,45.06910971697334,8.566666666666666,6.344222222222222,Blue
طريق تركي الأول بن عبدالعزيز آل سعود,"(24.8474334, 46.670534)","(24.6630729, 46.5547852)",0.2555555555555554,54.915648115641915,32.0037037037037,28.869999999999997,Blue
شارع طريق الامام محمد بن سعود,"(24.7895371, 46.7526854)","(24.7271816, 46.6270967)",1.838888888888889,51.61498015170172,18.788888888888888,15.631999999999998,Blue
الأشبيلي,"(24.8093433, 46.8181123)","(24.776426, 46.7663688)",-0.3833333333333333,43.771714107190945,14.833333333333334,10.785,Blue
عائشة بنت أبي بكر,"(24.6178467, 46.670534)","(24.5647352, 46.6319212)",-0.1537037037037037,28.698934184887136,20.746296296296297,9.87,Blue
السفح,"(24.6130618, 46.720428)","(24.5733974, 46.6964938)",0.498148148148148,32.79380757297474,16.714814814814815,8.946222222222223,Blue
محايدة,"(24.6584052, 46.5861072)","(24.6533337, 46.5855047)",-0.0462962962962963,40.943665948785096,9.087037037037035,6.162,Blue
ممر النظيم,"(24.9526781, 47.0577478)","(24.7695123, 46.8615818)",-1.8703703703703705,50.92234461073058,37.5611111111111,31.831555555555553,Blue
Al Shaba'Niah,"(24.8519613, 46.805914)","(24.7657102, 46.7212587)",1.9296296296296296,51.07858049842747,22.4037037037037,18.82766666666667,Blue
Al Khozama,"(24.7363514, 46.6231959)","(24.691285, 46.5685328)",-0.2611111111111111,45.73037345709328,18.727777777777774,14.24311111111111,Blue
Aka,"(24.6936072, 46.8313384)","(24.6565883, 46.75510370000001)",-1.0277777777777777,39.23085680449181,18.57962962962963,12.038222222222224,Blue
Al Sahel Valley,"(24.866488, 46.815598)","(24.8287479, 46.7938116)",-0.6203703703703703,44.90634426607734,10.762962962962964,8.035,Blue
