Road Name,Distance (km),Time (mins),Ratio (km/min),Start_point,End_point
الملك فهد,9.198,15.183333333333334,0.6057958287596048,"(24.7535293, 46.68524009999999)","(24.7278467, 46.65562389999999)"
شارع شعيرة,8.074,12.55,0.6433466135458167,"(24.7468638, 46.7478493)","(24.7443783, 46.7114419)"
السمح بن مالك,6.242,9.566666666666666,0.6524738675958188,"(24.5897615, 46.8567756)","(24.5714292, 46.8252838)"
Irqah,17.317,23.333333333333332,0.7421571428571428,"(24.7093091, 46.6160267)","(24.6686628, 46.4822893)"
FAHHAD MOHAMMAD AL JFIRAN STREET,9.994,17.066666666666666,0.5855859375,"(24.68896, 46.76417319999999)","(24.6840036, 46.7132541)"
الدائري الثاني,17.349,17.933333333333334,0.9674163568773234,"(24.7607903, 46.8688931)","(24.655751, 46.8446611)"
الياقوت,6.744,13.45,0.5014126394052044,"(24.5508047, 46.7817122)","(24.5397372, 46.7647779)"
وادي الطيري,11.587,22.733333333333334,0.5096920821114369,"(24.7382791, 46.7109888)","(24.6863312, 46.6849461)"
طريق رماح,8.349,14.266666666666667,0.5852102803738317,"(24.7587914, 46.6898516)","(24.7200682, 46.67294829999999)"
شارع حمزة السلحدار,14.804,24.85,0.5957344064386317,"(24.6172233, 46.6463975)","(24.5561234, 46.6017757)"
علي أبي العلي,13.406,20.566666666666663,0.6518314424635333,"(24.7165527, 46.7035117)","(24.6682398, 46.66354519999999)"
حسين بن سعيد المنوفي,7.408,10.4,0.7123076923076923,"(24.6675779, 46.7635685)","(24.6640134, 46.7567663)"
الأندلسي,6.719,11.366666666666667,0.5911143695014662,"(24.7568426, 46.8027447)","(24.7302837, 46.7745554)"
Prince Ahmed Bin Abdulaziz,8.106,12.75,0.6357647058823529,"(24.644358, 46.6463975)","(24.6263283, 46.5861072)"
طريق السلطان قابوس بن سعيد,8.059,12.966666666666669,0.621516709511568,"(24.822224, 46.8640458)","(24.7816156, 46.83012739999999)"
شارع المدينة المنورة,33.909,59.68333333333333,0.5681485618542307,"(24.6637135, 46.7962319)","(24.5627045, 46.574058)"
Discovery Blvd,10.072,12.85,0.7838132295719844,"(24.7659472, 46.6391588)","(24.7607916, 46.636143)"
التصنيع,6.129,11.183333333333334,0.548047690014903,"(24.585532, 46.7430136)","(24.5571824, 46.712801)"
القاضي,7.606,14.016666666666667,0.5426397146254458,"(24.7454537, 46.7146132)","(24.7408013, 46.7047977)"
Al-Imam Al Bukharl,23.834,36.016666666666666,0.661749190189727,"(24.6060597, 46.8495065)","(24.5533825, 46.7744539)"
مبارك بن سكينة,8.945,13.45,0.6650557620817844,"(24.7357296, 46.64157160000001)","(24.6960973, 46.6081801)"
Sabta,7.733,10.25,0.7544390243902439,"(24.76491, 46.6699305)","(24.7191642, 46.6578609)"
Marat,12.049,17.233333333333334,0.6991682785299805,"(25.09132, 45.5014229)","(25.0467981, 45.4397658)"
Mohammed Ali Jinnah,18.078,22.066666666666663,0.8192447129909365,"(24.8148754, 46.7986522)","(24.7545582, 46.6995133)"
زهير بن المسيب,12.104,20.216666666666665,0.5987139323990107,"(24.7519855, 46.7986522)","(24.6798075, 46.7647779)"
طريق التخصصي,23.312,35.166666666666664,0.6629004739336494,"(24.7577072, 46.6898516)","(24.6509204, 46.6367462)"
مسلم بن عبدالرحمن,6.538,12.483333333333333,0.5237383177570094,"(24.7557343, 46.7900302)","(24.7222054, 46.76931330000001)"
أم أثلة,13.35,15.383333333333333,0.8678223185265439,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
شارع الأمير متعب بن عبدالله بن عبدالعزيز,30.033,32.416666666666664,0.9264678663239077,"(24.756016, 46.941659)","(24.5938452, 46.8495065)"
وادي لبن,24.852,40.9,0.6076283618581907,"(24.6405615, 46.6512239)","(24.5680149, 46.4489184)"
فرسان,19.661,24.05,0.8175051975051976,"(24.7600848, 46.6536372)","(24.6897433, 46.6240816)"
العقيق,7.665,9.4,0.8154255319148936,"(24.7938496, 46.6473255)","(24.7535059, 46.6128186)"
طريق الأمير مقرن بن عبد العزيز، عين البراحة,16.386,20.583333333333332,0.7960809716599191,"(24.7944098, 43.86506079999999)","(24.743728, 43.7278605)"
طريق المطار,38.345,47.55,0.8064143007360673,"(24.9974697, 46.7381783)","(24.7791458, 46.6512239)"
شارع الزبير بن العوام,13.15,24.25,0.5422680412371134,"(24.726966, 46.8399674)","(24.6854408, 46.7762684)"
عاصم بن جويرية,7.105,12.0,0.5920833333333334,"(24.7511046, 46.6524305)","(24.7318878, 46.64157160000001)"
طريق الدائري الجديد-تحت الإنشاء,32.641,58.083333333333336,0.5619684361549497,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
أبي نصر الفارابي,28.558,30.033333333333335,0.9508768035516092,"(24.6557667, 46.8913181)","(24.6429911, 46.8834379)"
As-Sahabh Roadالصحابة,18.256,23.083333333333332,0.7908736462093864,"(24.8519613, 46.805914)","(24.7657102, 46.7212587)"
King Abdullah Road,25.369,31.8,0.7977672955974843,"(24.801193, 46.8204406)","(24.6968763, 46.6222727)"
أحمد عبدالواحد,6.15,12.05,0.5103734439834025,"(24.7132022, 46.7652314)","(24.7113442, 46.7638708)"
شارع بور سعيد,9.017,15.6,0.5780128205128205,"(24.5860316, 46.8252838)","(24.5419287, 46.8010727)"
التعاون,6.423,11.133333333333333,0.5769161676646707,"(24.785114, 46.7126813)","(24.7611094, 46.6864381)"
Al Rawdh,9.646,14.15,0.681696113074205,"(24.7532343, 46.7870871)","(24.7145113, 46.7488715)"
الثريا,7.027,11.65,0.603175965665236,"(24.7651064, 46.75570829999999)","(24.7388652, 46.7233733)"
As-Sahabh,18.256,27.133333333333333,0.6728255528255529,"(24.8519613, 46.805914)","(24.7657102, 46.7212587)"
الشيخ عبدالله المخضوب,7.188,12.766666666666667,0.5630287206266318,"(24.7995141, 46.7094787)","(24.7878151, 46.6897762)"
سمحا,14.323,24.133333333333333,0.5934944751381216,"(24.6255002, 46.6893988)","(24.5726548, 46.6453418)"
وادي أيروان,6.342,10.733333333333333,0.5908695652173913,"(24.5792541, 46.6886441)","(24.5754641, 46.6838141)"
النفل,6.351,9.683333333333334,0.6558691910499139,"(24.7937761, 46.6864381)","(24.769956, 46.6602666)"
عطية سالم,6.009,7.533333333333333,0.7976548672566373,"(24.7736461, 46.7222027)","(24.7524547, 46.6826067)"
شارع الشيخ إبراهيم بن محمد آل الشيخ,6.721,7.933333333333334,0.8471848739495799,"(24.8351449, 46.6922669)","(24.8296699, 46.6819982)"
وادي ترج,8.252,12.433333333333334,0.6636997319034853,"(24.7863531, 46.6940784)","(24.7813167, 46.6843423)"
طريق الملك عبدالعزيز فرعي,56.8,58.5,0.9709401709401708,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
الباطن,20.704,40.983333333333334,0.5051809678731192,"(24.7631338, 46.8028881)","(24.642655, 46.7315306)"
فؤاد حمزة,14.804,24.983333333333334,0.5925550366911274,"(24.6172233, 46.6463975)","(24.5561234, 46.6017757)"
أحمد الموفق,7.88,12.3,0.640650406504065,"(24.6309504, 46.7043448)","(24.5838406, 46.6958899)"
عطي,6.009,9.016666666666667,0.6664325323475045,"(24.7736461, 46.7222027)","(24.7524547, 46.6826067)"
Ismail Al Andulus,6.719,10.816666666666666,0.6211710323574731,"(24.7568426, 46.8027447)","(24.7302837, 46.7745554)"
طريق الثمامة,34.069,37.666666666666664,0.9044867256637168,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
نمار,9.235,14.283333333333331,0.6465577596266044,"(24.586135, 46.7052896)","(24.5601965, 46.6710482)"
AL Hadad,11.478,16.933333333333334,0.6778346456692913,"(24.6927368, 46.7944167)","(24.6437154, 46.7883665)"
Al Falah,8.986,14.45,0.6218685121107267,"(24.8091397, 46.7223406)","(24.785114, 46.6960814)"
قها,6.694,10.566666666666666,0.6335015772870662,"(24.8094773, 46.7508718)","(24.7984307, 46.712499)"
البشائر,7.762,14.2,0.5466197183098591,"(24.7139597, 46.8227108)","(24.6825958, 46.790484)"
Al Hamla,9.527,14.45,0.6593079584775087,"(24.7913163, 46.77653309999999)","(24.7598942, 46.730632)"
الإمام أحمد بن حنبل,21.225,25.133333333333333,0.8444960212201592,"(24.768106, 46.8907119)","(24.6997523, 46.7768732)"
وادي الحياة,6.013,8.75,0.6872,"(24.780071, 46.67989009999999)","(24.7552731, 46.65001720000001)"
القادسية,11.347,18.6,0.6100537634408602,"(24.8395969, 46.8501623)","(24.8001838, 46.7978952)"
Al Khozama,13.564,18.683333333333337,0.7259946476360393,"(24.7363514, 46.6231959)","(24.691285, 46.5685328)"
البيت العتيق,7.29,13.266666666666667,0.5494974874371858,"(24.8112938, 46.7445247)","(24.7994054, 46.7188421)"
الغاط,6.377,7.966666666666667,0.800460251046025,"(24.7814243, 46.7025329)","(24.7691874, 46.6777773)"
الأسود بن هلال,8.133,11.283333333333331,0.7207976366322009,"(24.76340690000002, 46.6271734)","(24.74446739999997, 46.582252)"
شارع الشيخ عبدالله بن جبرين,11.092,13.3,0.833984962406015,"(24.8353917, 46.6102146)","(24.8202052, 46.5812872)"
الواحة,11.027,17.216666666666665,0.6404840271055179,"(24.7519361, 46.7258057)","(24.7213988, 46.68524009999999)"
العزايزه,18.47,31.866666666666667,0.579602510460251,"(24.6123559, 46.8088237)","(24.5613804, 46.7373393)"
طيبة,18.51,28.4,0.6517605633802818,"(24.5735721, 46.8649294)","(24.5099959, 46.7958078)"
الأشبيلي,10.785,17.05,0.6325513196480939,"(24.8093433, 46.8181123)","(24.776426, 46.7663688)"
شارع أبوهريرة,12.434,19.733333333333334,0.6301013513513513,"(24.754436, 46.8543525)","(24.7157648, 46.8249811)"
الشعيرة,8.074,11.716666666666669,0.6891038406827881,"(24.7468638, 46.7478493)","(24.7443783, 46.7114419)"
جبل عبدالعزيز,8.333,12.783333333333331,0.6518644067796611,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
الطحاوي,7.526,11.85,0.6351054852320676,"(24.8312822, 46.61202309999999)","(24.8279201, 46.6059196)"
شارع النخل,14.762,20.333333333333332,0.7260000000000001,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
حمزة الاركوبي,14.804,25.433333333333337,0.5820707732634338,"(24.6172233, 46.6463975)","(24.5561234, 46.6017757)"
عبس بن عامر السلمي,8.573,14.716666666666669,0.5825368063420159,"(24.7272521, 46.7727151)","(24.6793498, 46.7581267)"
Al Ghadir,8.694,15.4,0.5645454545454546,"(24.7862846, 46.6684286)","(24.7610666, 46.640876)"
سلمان الفارسي,8.215,12.933333333333334,0.635180412371134,"(24.7814775, 46.8204406)","(24.750219, 46.7962319)"
عوالي,12.243,22.466666666666665,0.5449406528189912,"(24.5767642, 46.66049169999999)","(24.5428661, 46.5796016)"
كراتشي,10.443,17.466666666666665,0.597881679389313,"(24.7602337, 46.601173)","(24.7539594, 46.5975568)"
طريق جبله ، عين البراحة,16.386,21.133333333333333,0.7753627760252366,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
شارع منصور الطبري,6.879,10.0,0.6879,"(24.8953296, 46.6391588)","(24.8890564, 46.6355399)"
Afif,17.017,20.1,0.8466169154228855,"(23.9556658, 42.9571364)","(23.8511982, 42.8685665)"
ديراب,12.492,17.883333333333333,0.6985274930102517,"(24.5384507, 46.6451102)","(24.4823168, 46.593364)"
Western Ring Rd,34.488,49.1,0.7024032586558044,"(24.7397288, 46.6463975)","(24.5539963, 46.5547852)"
Al Nahdha road,19.052,33.18333333333333,0.5741436464088399,"(24.7084691, 46.7865516)","(24.6251442, 46.7430136)"
مصافي,6.92,11.283333333333331,0.6132939438700148,"(24.8249208, 46.7484538)","(24.7987016, 46.7084972)"
الخضر النيسابوري,9.178,16.666666666666668,0.5506800000000001,"(24.7628082, 46.7662896)","(24.7368424, 46.7121969)"
الخزف,6.47,9.666666666666666,0.6693103448275862,"(24.5848639, 46.686229)","(24.5702727, 46.6453418)"
ممر أحد,17.541,21.55,0.8139675174013921,"(24.5075494, 46.6554638)","(24.4722626, 46.6145)"
طريق جدة,52.827,57.8,0.913961937716263,"(24.6942703, 46.64157160000001)","(24.5263166, 46.4387046)"
سفيان بن ثابت,14.762,19.766666666666666,0.7468128161888702,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
صنعاء,52.732,96.78333333333332,0.5448458756672981,"(15.5113795, 44.28496579999999)","(15.2547096, 44.1375954)"
عباد بن الحارث,6.796,11.25,0.6040888888888889,"(24.6779043, 46.7780829)","(24.6666887, 46.7696157)"
Conference Blvd,7.571,11.816666666666666,0.6407052186177715,"(24.7609007, 46.6422125)","(24.7582481, 46.6373493)"
الحيازين,13.36,24.45,0.5464212678936605,"(24.7685712, 46.7794439)","(24.6891896, 46.77233709999999)"
شبيجة العليا,13.406,19.15,0.7000522193211489,"(24.7165527, 46.7035117)","(24.6682398, 46.66354519999999)"
شارع ابن حزم,10.611,16.166666666666668,0.6563505154639175,"(24.6193955, 46.6053922)","(24.5917193, 46.5800822)"
عبدالملك الزيري,8.945,12.85,0.6961089494163425,"(24.7357296, 46.64157160000001)","(24.6960973, 46.6081801)"
كلثم بنت عمرو,9.673,19.0,0.5091052631578947,"(24.7546817, 46.8071244)","(24.721463, 46.7575221)"
شبيب الليثي,8.662,19.366666666666667,0.447263339070568,"(24.7572653, 46.7708252)","(24.7212289, 46.7460358)"
جنين,6.788,13.233333333333333,0.5129471032745593,"(24.6060922, 46.6017757)","(24.5748326, 46.5861072)"
ممر قرطبة,12.56,15.866666666666667,0.7915966386554621,"(24.8377564, 46.7581815)","(24.7926627, 46.7135863)"
حصن الحراء,9.527,13.35,0.7136329588014981,"(24.7913163, 46.77653309999999)","(24.7598942, 46.730632)"
ممر النظيم,31.826,38.71666666666667,0.8220232458028411,"(24.9526781, 47.0577478)","(24.7695123, 46.8615818)"
مصيدة العليا,13.406,19.283333333333335,0.6952117545375972,"(24.7165527, 46.7035117)","(24.6682398, 46.66354519999999)"
شارع عبدالرحمن بن حمود السميط,6.695,9.416666666666666,0.7109734513274337,"(24.8518274, 46.60298119999999)","(24.8424923, 46.5836972)"
ممر 98,8.404,15.733333333333333,0.5341525423728813,"(24.594892, 46.6403652)","(24.571468, 46.5812872)"
عسفان,8.158,15.616666666666667,0.5223906083244396,"(24.7874632, 46.7276406)","(24.7805653, 46.701023)"
البغدادي,6.003,10.8,0.5558333333333333,"(24.7589695, 46.8053088)","(24.7281493, 46.7811073)"
شارع أم عمارة,6.305,12.6,0.5003968253968254,"(24.5634142, 46.7194462)","(24.5321671, 46.6946822)"
Abu Thabit,14.762,20.283333333333335,0.7277896466721446,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
الذهبي,9.339,11.85,0.7881012658227848,"(24.5867759, 46.5475598)","(24.5545491, 46.5427434)"
التنهاة,9.115,15.316666666666666,0.5951033732317736,"(24.7570374, 46.5981595)","(24.7397288, 46.58851749999999)"
ملهم,7.63,11.9,0.6411764705882352,"(25.1859133, 46.35646819999999)","(25.1446629, 46.3126088)"
Al Rabeah Aljarmi,8.805,15.083333333333334,0.583756906077348,"(24.7391318, 46.7587313)","(24.6933374, 46.7555571)"
شارع واثر بن حجر,7.753,12.133333333333333,0.6389835164835165,"(24.5725734, 46.80894)","(24.556628, 46.7768732)"
شارع مؤتة,6.224,9.833333333333334,0.6329491525423728,"(24.7362175, 46.6617832)","(24.6969381, 46.6569558)"
الزراع بن عامر,8.573,14.833333333333334,0.5779550561797753,"(24.7272521, 46.7727151)","(24.6793498, 46.7581267)"
Al Nasser,10.692,18.933333333333337,0.5647183098591549,"(24.6030097, 46.7889715)","(24.5762585, 46.737574)"
الصناعية,6.716,19.7,0.3409137055837564,"(24.6541091, 46.7619944)","(24.630205, 46.7308212)"
Mohammed Bin Al Hareth,11.258,18.816666666666663,0.5982993799822852,"(24.8013768, 46.7484915)","(24.742101, 46.7052507)"
شارع اسيد بن ظهير بن رافع,8.856,17.05,0.5194134897360704,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)"
أريحا,10.404,23.15,0.4494168466522678,"(24.7064561, 46.77233709999999)","(24.6560661, 46.7309264)"
شارع اسد بن عطية بن عبيد,8.856,17.05,0.5194134897360704,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)"
السفح,9.474,20.066666666666663,0.4721262458471761,"(24.6130618, 46.720428)","(24.5733974, 46.6964938)"
Al Madini,6.797,13.95,0.4872401433691756,"(24.5721571, 46.6495648)","(24.5361463, 46.6337305)"
East Ring Road,29.92,57.93333333333333,0.5164556962025317,"(24.7921447, 46.805914)","(24.6224894, 46.7188421)"
وادي حنيفة,22.91,44.2,0.5183257918552036,"(24.7033408, 46.6807956)","(24.5998153, 46.60298119999999)"
ممر فاتك بن زيد,7.371,19.683333333333337,0.3744792548687553,"(24.7469689, 46.8410273)","(24.706146, 46.8107557)"
Khalij Adan,9.848,24.1,0.4086307053941909,"(24.7968653, 46.8295247)","(24.7568426, 46.77653309999999)"
رغدان,6.289,20.366666666666667,0.3087888707037643,"(24.6722289, 46.7345617)","(24.6388126, 46.7019289)"
شجوى,6.817,13.083333333333334,0.5210445859872611,"(24.5840971, 46.6394604)","(24.5739943, 46.5963138)"
شارع وحشي بن حرب,7.36,25.883333333333333,0.2843528654217643,"(24.6253448, 46.7212587)","(24.6057798, 46.6880403)"
Al Sharaf,7.092,17.266666666666666,0.4107335907335907,"(24.6050858, 46.7081197)","(24.5924671, 46.6581626)"
ممر الحميمه,8.39,22.433333333333337,0.3739970282317979,"(24.6196381, 46.7297178)","(24.5983228, 46.6952861)"
Al Merwah,7.705,15.533333333333331,0.4960300429184549,"(24.5564513, 46.6926552)","(24.5248985, 46.6588895)"
أبي محمد العلاف,8.752,17.066666666666666,0.5128125,"(24.5855703, 46.6457942)","(24.5709221, 46.6072005)"
Al-Fajar,7.57,10.133333333333333,0.7470394736842106,"(24.8180188, 46.6660075)","(24.8126, 46.6558999)"
Omar Al Hajeb,6.338,13.516666666666667,0.4689025893958076,"(24.7854632, 46.8028881)","(24.760707, 46.7590336)"
الخذف,6.47,9.316666666666666,0.6944543828264759,"(24.5848639, 46.686229)","(24.5702727, 46.6453418)"
Al Ammar,6.735,16.866666666666667,0.3993083003952569,"(24.7286847, 46.6826067)","(24.6936181, 46.6457942)"
مدرك الضبي,13.117,27.516666666666666,0.4766929133858268,"(24.6710714, 46.7078177)","(24.6034634, 46.6580872)"
Ibraheem Bin Abdulsalam,12.281,24.4,0.5033196721311476,"(24.6593747, 46.7057037)","(24.5973701, 46.6523551)"
طريق مكة المكرمة الفرعي,16.438,31.7,0.5185488958990536,"(24.7201491, 46.7671967)","(24.6656897, 46.6367462)"
الفكر,14.517,40.63333333333333,0.3572682526661198,"(24.6403854, 46.73696959999999)","(24.6042262, 46.6898516)"
سبته,7.733,11.783333333333331,0.6562659123055162,"(24.76491, 46.6699305)","(24.7191642, 46.6578609)"
شارع أسد مولي رسول الله,8.842,19.0,0.4653684210526316,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)"
Raghdan,6.484,23.85,0.2718658280922432,"(24.6722289, 46.7345617)","(24.6388126, 46.7019289)"
الجبو,9.133,31.766666666666666,0.2875026232948583,"(24.6440511, 46.7655337)","(24.6101493, 46.7170297)"
طريق الرياض - الرمحية,7.417,16.283333333333335,0.4554964176049129,"(24.6236475, 46.6989848)","(24.5854023, 46.6870969)"
As Salah,7.748,17.15,0.4517784256559767,"(24.8258293, 46.9101143)","(24.7908938, 46.8919243)"
الخزان,8.147,20.616666666666667,0.3951657235246564,"(24.6410953, 46.7260923)","(24.6339923, 46.6880403)"
المضيق,12.203,35.9,0.3399164345403899,"(24.6975965, 46.7850392)","(24.6385203, 46.7118949)"
شارع ابن شداد,7.76,18.566666666666663,0.4179533213644524,"(24.6661731, 46.7312285)","(24.6540629, 46.6768718)"
شارع اسد بن زراره,8.842,22.283333333333335,0.3967988032909499,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)"
Laban Valley,19.898,38.31666666666667,0.5193040452370595,"(24.6575726, 46.6508675)","(24.6016845, 46.563363)"
Al Jabour,9.133,31.666666666666668,0.2884105263157894,"(24.6440511, 46.7655337)","(24.6101493, 46.7170297)"
ينبع,14.56,31.6,0.4607594936708861,"(24.6492832, 46.5861072)","(24.5956169, 46.5018235)"
شارع عمر بن عبدالعزيز,8.019,19.983333333333334,0.4012844036697247,"(24.7014787, 46.782922)","(24.6768552, 46.7260923)"
Al Ward,11.976,26.25,0.4562285714285715,"(24.6770813, 46.5903299)","(24.6277137, 46.54394749999999)"
خولي بن أبي خولي,6.9,17.933333333333334,0.3847583643122677,"(24.7233106, 46.82316489999999)","(24.6967577, 46.7762684)"
أم عمارة,6.305,12.866666666666667,0.4900259067357512,"(24.5634142, 46.7194462)","(24.5321671, 46.6946822)"
شارع اسد بن الحارثة الكلبي,8.856,19.316666666666663,0.4584641932700604,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)"
الصحراوي,8.571,15.283333333333331,0.5608069792802617,"(24.5799692, 46.7093277)","(24.5682164, 46.65605069999999)"
شبوة,7.382,20.283333333333335,0.3639441248972884,"(24.5751417, 46.7155194)","(24.5635888, 46.67291059999999)"
الأثود العليا,15.217,27.5,0.5533454545454546,"(24.7165527, 46.7035117)","(24.6682398, 46.66354519999999)"
منفوحة,6.18,13.933333333333334,0.4435406698564593,"(24.6109435, 46.7373393)","(24.587994, 46.7195843)"
Yanbu,14.56,31.433333333333337,0.4632025450689289,"(24.6492832, 46.5861072)","(24.5956169, 46.5018235)"
بدن بن زيد الدوسري,7.371,19.4,0.3799484536082474,"(24.7469689, 46.8410273)","(24.706146, 46.8107557)"
Al Rafaih,6.705,15.4,0.4353896103896104,"(24.6504946, 46.6769391)","(24.6252127, 46.6438333)"
الرمح,8.349,14.666666666666666,0.56925,"(24.7587914, 46.6898516)","(24.7200682, 46.67294829999999)"
Al Thuraya,7.027,11.5,0.6110434782608696,"(24.7651064, 46.75570829999999)","(24.7388652, 46.7233733)"
شارع الفضل التميمي,8.218,19.033333333333335,0.4317688266199649,"(24.759075, 46.6470008)","(24.7555028, 46.6448894)"
شارع الفرعة,17.705,42.15,0.4200474495848161,"(24.6746147, 46.73819719999999)","(24.586689, 46.6373493)"
راجية,8.894,17.333333333333332,0.5131153846153846,"(24.8218292, 46.77324429999999)","(24.8027754, 46.7623591)"
شارع الحلوة,7.582,15.666666666666666,0.4839574468085106,"(24.7981818, 46.6708358)","(24.7858495, 46.6222727)"
Ibn Taymeeyah Road,10.295,19.833333333333332,0.5190756302521009,"(24.5758636, 46.7236754)","(24.5205215, 46.6753627)"
شارع حصين بن حدير,7.408,9.683333333333334,0.765025817555938,"(24.6675779, 46.7635685)","(24.6640134, 46.7567663)"
Taiba,8.669,16.45,0.5269908814589667,"(24.6511266, 46.5692391)","(24.6237563, 46.549366)"
شارع النايفية,6.475,10.783333333333331,0.6004636785162287,"(24.7456243, 46.820138)","(24.7253957, 46.7752099)"
حمد الخطيب,6.491,18.566666666666663,0.349605026929982,"(24.6846253, 46.7094787)","(24.6439315, 46.6995133)"
Aka,12.784,24.55,0.5207331975560081,"(24.6936072, 46.8313384)","(24.6565883, 46.75510370000001)"
عوف بن حاجر الأزدي,7.753,12.216666666666669,0.63462482946794,"(24.5725734, 46.80894)","(24.556628, 46.7768732)"
الإمام بن جرير,6.568,11.1,0.5917117117117117,"(24.6083, 46.7791414)","(24.6057216, 46.77657079999999)"
عبيد الله بن يزيد,7.371,20.883333333333333,0.3529608938547486,"(24.7469689, 46.8410273)","(24.706146, 46.8107557)"
ساحل حلي الشمالي,7.904,32.266666666666666,0.2449586776859504,"(24.6390092, 46.737574)","(24.615552, 46.7251859)"
طريق الملك سعود,11.694,28.033333333333335,0.4171462544589774,"(24.6933354, 46.7188421)","(24.638759, 46.6457942)"
قرى الدار,12.413,26.433333333333337,0.4695964691046658,"(24.6398012, 46.6240816)","(24.5923203, 46.5969164)"
عاقل الليثي,7.926,16.766666666666666,0.4727236580516899,"(24.7572653, 46.7708252)","(24.7212289, 46.7460358)"
Al Anbari,7.75,15.333333333333334,0.5054347826086957,"(24.7330062, 46.7599405)","(24.6821831, 46.74875600000001)"
مغرة العمارين,6.735,17.416666666666668,0.3866985645933014,"(24.7286847, 46.6826067)","(24.6936181, 46.6457942)"
Al Jazeera Al Khuzra,9.177,19.25,0.4767272727272727,"(24.6860722, 46.8153462)","(24.6433178, 46.7776658)"
الجزائر,12.281,24.583333333333332,0.4995661016949153,"(24.6593747, 46.7057037)","(24.5973701, 46.6523551)"
الثوابية,7.703,13.233333333333333,0.5820906801007557,"(24.5991424, 46.7285093)","(24.5646728, 46.6801919)"
Qaha,6.694,9.183333333333334,0.7289292196007259,"(24.8094773, 46.7508718)","(24.7984307, 46.712499)"
الملك عبدالله,12.95,18.866666666666667,0.6863957597173145,"(24.7598942, 46.7618374)","(24.7040611, 46.7211557)"
غزالة,7.184,13.716666666666669,0.5237424058323208,"(24.6578442, 46.7031368)","(24.6255367, 46.6812483)"
Sadir,9.415,13.366666666666667,0.704364089775561,"(24.5989016, 46.6946822)","(24.5608874, 46.64157160000001)"
عالية,9.444,19.033333333333335,0.4961821366024518,"(24.7499246, 46.71174389999999)","(24.6996238, 46.6886441)"
مليجة,11.766,21.733333333333334,0.5413803680981595,"(24.6853803, 46.8428441)","(24.6294166, 46.7726395)"
سماك بن حرب,7.19,22.366666666666667,0.3214605067064083,"(24.6253448, 46.7212587)","(24.6057798, 46.6880403)"
ابن كعب,6.286,14.983333333333333,0.4195328142380423,"(24.7553853, 46.7635685)","(24.7181537, 46.7590336)"
الحنكة,11.149,17.8,0.6263483146067415,"(24.7861326, 46.7233733)","(24.7270423, 46.6850215)"
وادي الساهية,6.139,8.45,0.7265088757396451,"(24.7797288, 46.6524305)","(24.7557062, 46.6234786)"
Karachi,10.443,18.333333333333332,0.5696181818181818,"(24.7602337, 46.601173)","(24.7539594, 46.5975568)"
الحجل,6.484,10.25,0.6325853658536585,"(24.7887347, 46.6807956)","(24.7847265, 46.6727974)"
Abi Taher Ibn Al Salam,7.801,14.333333333333334,0.5442558139534883,"(24.722725, 46.8276552)","(24.692795, 46.7947917)"
ابن أبي حفصه,6.9,20.783333333333335,0.3319967923015236,"(24.7233106, 46.82316489999999)","(24.6967577, 46.7762684)"
شمس الدين بن عبدالملك,6.895,13.666666666666666,0.5045121951219512,"(24.5969246, 46.5836972)","(24.5848388, 46.5355198)"
Al Raed,8.176,16.683333333333334,0.49006993006993,"(24.7205795, 46.6541829)","(24.694263, 46.62321)"
عبدالرحمن بن أحمد,13.613,25.066666666666663,0.5430718085106383,"(24.5590467, 46.70917670000001)","(24.49419, 46.6364446)"
سديرة,9.415,14.116666666666667,0.6669421487603305,"(24.5989016, 46.6946822)","(24.5608874, 46.64157160000001)"
أسد السنة,8.842,20.883333333333333,0.4233998403830806,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)"
قرية الجدية,6.471,13.15,0.4920912547528517,"(24.6217074, 46.7164256)","(24.5872201, 46.6928707)"
عبدالمجيد بن أبي الشخباء,6.9,18.45,0.3739837398373984,"(24.7233106, 46.82316489999999)","(24.6967577, 46.7762684)"
Al Nadwah,13.392,28.916666666666668,0.4631239193083573,"(24.8278719, 46.9278255)","(24.7727852, 46.8616075)"
برقاء العليا,11.715,26.916666666666668,0.4352321981424148,"(24.7165527, 46.7035117)","(24.6682398, 46.66354519999999)"
خالد ابن الوليد,19.464,35.833333333333336,0.5431813953488371,"(24.8177153, 46.7889715)","(24.7236044, 46.7285093)"
عائشة بنت أبي بكر,9.87,22.2,0.4445945945945945,"(24.6178467, 46.670534)","(24.5647352, 46.6319212)"
